                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.87657,                 1.5794,                  1.301,                0.12579,                0.38645,                0.14057,                0.05504,                 1.0302,                    inf,                 2.0194,             0.00036791,             0.00036791,             0.00036791
                      2,                0.80479,                   1.02,                 1.2301,                0.75533,                0.72405,                0.82511,                0.69134,                0.67135,                 1.1108,                 1.2331,             0.00072363,             0.00072363,             0.00072363
                      3,                0.74081,                0.88011,                 1.1848,                0.74721,                0.75095,                0.85173,                0.68333,                0.74188,                 1.1215,                 1.3031,              0.0010647,              0.0010647,              0.0010647
                      4,                0.72254,                0.83509,                 1.1642,                0.81474,                0.86622,                0.90633,                0.74091,                 0.7074,                0.75498,                 1.2695,               0.001045,               0.001045,               0.001045
                      5,                0.71137,                 0.7698,                 1.1526,                0.84738,                0.71255,                0.89616,                0.77152,                0.61226,                0.85801,                  1.152,               0.001045,               0.001045,               0.001045
                      6,                0.67568,                0.70254,                  1.125,                 0.8372,                0.90047,                0.93298,                0.80802,                0.59915,                 0.6311,                 1.1314,               0.001023,               0.001023,               0.001023
                      7,                0.65421,                 0.6637,                 1.1179,                0.94674,                 0.9225,                0.96962,                0.84829,                0.56511,                0.39963,                 1.1037,               0.001001,               0.001001,               0.001001
                      8,                0.64175,                0.63371,                 1.1033,                0.90025,                0.91954,                0.97074,                 0.8391,                0.57985,                 0.4441,                 1.1134,             0.00097901,             0.00097901,             0.00097901
                      9,                0.62869,                 0.6105,                 1.0909,                0.86624,                0.87818,                0.94608,                0.82983,                0.54941,                0.57145,                 1.0885,             0.00095702,             0.00095702,             0.00095702
                     10,                0.61812,                0.58038,                 1.0864,                0.94305,                0.91226,                0.97374,                0.85663,                0.54376,                0.39906,                 1.0786,             0.00093502,             0.00093502,             0.00093502
                     11,                0.61377,                0.56066,                 1.0842,                0.92218,                0.90671,                0.97102,                 0.8521,                 0.5621,                 0.4091,                 1.0984,             0.00091302,             0.00091302,             0.00091302
                     12,                0.60481,                0.55058,                 1.0756,                0.76514,                0.93233,                0.78689,                 0.6863,                0.56852,                  13.35,                 1.1031,             0.00089102,             0.00089102,             0.00089102
                     13,                0.60114,                0.52819,                 1.0783,                0.96682,                0.94763,                0.98528,                0.86965,                0.53593,                0.32181,                 1.0633,             0.00086902,             0.00086902,             0.00086902
                     14,                0.59042,                0.52202,                 1.0664,                0.94121,                0.95691,                0.98364,                0.86449,                0.54007,                0.32696,                 1.0691,             0.00084703,             0.00084703,             0.00084703
                     15,                0.58623,                0.50045,                 1.0699,                0.93359,                 0.9513,                 0.9819,                 0.8655,                0.53895,                0.33513,                 1.0713,             0.00082503,             0.00082503,             0.00082503
                     16,                0.58347,                0.49773,                 1.0601,                0.95182,                0.96784,                0.98677,                0.87141,                 0.5448,                0.30395,                 1.0823,             0.00080303,             0.00080303,             0.00080303
                     17,                0.57835,                0.48413,                 1.0601,                 0.9786,                0.96484,                0.99105,                0.87474,                0.55159,                0.28071,                 1.0839,             0.00078103,             0.00078103,             0.00078103
                     18,                0.57663,                0.47229,                 1.0552,                0.95724,                0.97527,                 0.9889,                0.88021,                0.52981,                0.29148,                 1.0587,             0.00075904,             0.00075904,             0.00075904
                     19,                0.56924,                0.44719,                 1.0507,                0.95359,                0.97264,                0.98705,                0.87548,                0.53257,                0.28053,                 1.0684,             0.00073704,             0.00073704,             0.00073704
                     20,                0.56153,                0.43757,                 1.0469,                0.95846,                0.94441,                0.98703,                0.87659,                0.53539,                0.31818,                 1.0637,             0.00071504,             0.00071504,             0.00071504
                     21,                0.55148,                0.43217,                 1.0406,                0.97965,                0.96965,                0.98999,                0.88517,                0.51806,                0.26213,                 1.0593,             0.00069304,             0.00069304,             0.00069304
                     22,                0.54955,                0.42418,                 1.0395,                0.98099,                 0.9611,                0.99064,                0.87915,                0.53198,                0.27549,                  1.062,             0.00067104,             0.00067104,             0.00067104
                     23,                0.54923,                0.42644,                 1.0365,                0.98639,                0.98875,                0.99199,                0.88705,                0.51544,                0.24186,                 1.0518,             0.00064905,             0.00064905,             0.00064905
                     24,                0.54978,                0.40813,                 1.0431,                 0.9733,                0.96098,                0.98615,                0.87546,                0.52184,                0.29101,                 1.0571,             0.00062705,             0.00062705,             0.00062705
                     25,                0.53939,                0.40983,                 1.0367,                0.96638,                0.97965,                0.99075,                0.88209,                0.52079,                0.25742,                 1.0503,             0.00060505,             0.00060505,             0.00060505
                     26,                0.52909,                0.39897,                 1.0298,                 0.9532,                0.97119,                0.99155,                0.87691,                0.53467,                0.27429,                 1.0796,             0.00058305,             0.00058305,             0.00058305
                     27,                0.53123,                0.40143,                 1.0287,                0.98856,                0.98182,                0.99229,                0.88383,                0.53252,                0.23352,                 1.0688,             0.00056105,             0.00056105,             0.00056105
                     28,                0.52466,                0.38176,                 1.0275,                0.98514,                0.98211,                0.98916,                0.88112,                 0.5145,                0.24196,                 1.0451,             0.00053906,             0.00053906,             0.00053906
                     29,                0.51474,                0.36905,                 1.0194,                 0.9686,                0.97958,                0.99077,                0.88418,                0.52104,                 0.2532,                 1.0595,             0.00051706,             0.00051706,             0.00051706
                     30,                0.51369,                0.37125,                 1.0201,                0.97438,                0.97281,                 0.9912,                0.88965,                0.51569,                0.24937,                  1.053,             0.00049506,             0.00049506,             0.00049506
                     31,                0.51197,                0.36404,                 1.0156,                0.97661,                0.95579,                0.98339,                0.88123,                0.52334,                0.28745,                 1.0606,             0.00047306,             0.00047306,             0.00047306
                     32,                0.50105,                0.35496,                 1.0105,                0.98518,                0.98646,                0.99338,                0.88618,                0.52739,                0.22695,                 1.0701,             0.00045107,             0.00045107,             0.00045107
                     33,                0.49482,                0.35161,                 1.0041,                0.99125,                 0.9708,                0.99252,                 0.8882,                0.51553,                0.23159,                 1.0587,             0.00042907,             0.00042907,             0.00042907
                     34,                0.49467,                 0.3512,                 1.0075,                 0.9711,                0.97406,                0.98802,                0.88559,                0.51732,                0.25712,                 1.0569,             0.00040707,             0.00040707,             0.00040707
                     35,                0.49367,                0.34871,                 1.0067,                0.98741,                0.97765,                0.99241,                0.88984,                0.50966,                0.22421,                 1.0471,             0.00038507,             0.00038507,             0.00038507
                     36,                0.48238,                0.32907,                 1.0025,                0.98597,                0.97269,                0.99287,                0.88626,                0.52062,                0.23307,                 1.0578,             0.00036307,             0.00036307,             0.00036307
                     37,                0.47875,                0.32759,                0.99895,                0.98212,                0.97837,                0.99251,                0.89099,                0.51246,                0.23682,                 1.0602,             0.00034108,             0.00034108,             0.00034108
                     38,                0.46737,                0.32704,                0.99452,                0.97993,                0.97911,                0.99227,                0.88838,                0.51536,                0.23606,                 1.0563,             0.00031908,             0.00031908,             0.00031908
                     39,                0.46917,                0.31927,                0.99407,                0.98372,                0.98459,                0.98893,                0.88094,                 0.5225,                 0.2396,                 1.0636,             0.00029708,             0.00029708,             0.00029708
                     40,                0.45737,                0.30867,                0.98645,                0.98606,                0.99341,                0.99393,                0.89136,                0.51488,                0.21167,                 1.0554,             0.00027508,             0.00027508,             0.00027508
                     41,                0.39885,                0.19288,                0.98665,                0.98539,                0.98003,                0.99146,                0.88851,                0.52033,                0.22705,                 1.0676,             0.00025309,             0.00025309,             0.00025309
                     42,                0.39179,                0.18371,                0.98451,                0.98593,                0.97888,                0.99324,                 0.8859,                0.53016,                 0.2214,                 1.0825,             0.00023109,             0.00023109,             0.00023109
                     43,                0.38022,                0.18122,                0.97038,                 0.9822,                 0.9796,                0.98802,                 0.8826,                0.52233,                0.23345,                 1.0755,             0.00020909,             0.00020909,             0.00020909
                     44,                0.36752,                0.17119,                0.95693,                0.95763,                 0.9779,                0.98137,                0.87616,                0.52909,                0.26017,                 1.0794,             0.00018709,             0.00018709,             0.00018709
                     45,                0.36022,                0.16629,                 0.9513,                0.98059,                0.96367,                0.98472,                0.88616,                0.51704,                0.23921,                 1.0656,             0.00016509,             0.00016509,             0.00016509
                     46,                0.35033,                0.16128,                0.94234,                0.98812,                0.97978,                0.98892,                0.88873,                0.52324,                0.21439,                 1.0798,              0.0001431,              0.0001431,              0.0001431
                     47,                0.34165,                0.15762,                 0.9353,                0.97802,                0.99073,                0.99066,                0.89091,                0.52392,                0.21257,                 1.0849,              0.0001211,              0.0001211,              0.0001211
                     48,                0.33147,                0.15373,                0.92649,                0.97786,                  0.988,                 0.9905,                 0.8911,                0.52609,                0.21854,                 1.0883,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     49,                0.31765,                0.14729,                0.91807,                0.98143,                 0.9852,                0.99045,                0.89387,                0.52677,                 0.2202,                 1.0946,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     50,                0.31228,                0.14515,                 0.9128,                0.97731,                0.98261,                0.99235,                0.89089,                0.53227,                0.22215,                 1.1005,             5.5106e-05,             5.5106e-05,             5.5106e-05
